16/03/30 03:56:39 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-36-82-211.us-west-2.compute.amazonaws.com/172.31.6.22:9050
16/03/30 03:56:40 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/30 03:56:40 INFO input.FileInputFormat: Total input paths to process : 1
16/03/30 03:56:40 INFO mapreduce.JobSubmitter: number of splits:75
16/03/30 03:56:40 INFO Configuration.deprecation: mapred.textoutputformat.separator is deprecated. Instead, use mapreduce.output.textoutputformat.separator
16/03/30 03:56:41 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1459309616944_0001
16/03/30 03:56:41 INFO impl.YarnClientImpl: Submitted application application_1459309616944_0001
16/03/30 03:56:41 INFO mapreduce.Job: The url to track the job: http://ec2-52-36-82-211.us-west-2.compute.amazonaws.com:9006/proxy/application_1459309616944_0001/
16/03/30 03:56:41 INFO mapreduce.Job: Running job: job_1459309616944_0001
16/03/30 03:56:51 INFO mapreduce.Job: Job job_1459309616944_0001 running in uber mode : false
16/03/30 04:09:13 INFO mapreduce.Job:  map 68% reduce 21%
16/03/30 04:09:25 INFO mapreduce.Job:  map 69% reduce 21%
16/03/30 04:09:31 INFO mapreduce.Job:  map 70% reduce 21%
16/03/30 04:09:40 INFO mapreduce.Job:  map 71% reduce 21%
16/03/30 04:09:43 INFO mapreduce.Job:  map 71% reduce 22%
16/03/30 04:09:46 INFO mapreduce.Job:  map 71% reduce 23%
16/03/30 04:09:52 INFO mapreduce.Job:  map 71% reduce 24%
16/03/30 04:10:08 INFO mapreduce.Job:  map 72% reduce 24%
16/03/30 04:10:12 INFO mapreduce.Job:  map 73% reduce 24%
16/03/30 04:10:17 INFO mapreduce.Job:  map 74% reduce 24%
16/03/30 04:10:31 INFO mapreduce.Job:  map 75% reduce 24%
16/03/30 04:10:41 INFO mapreduce.Job:  map 76% reduce 24%
16/03/30 04:10:45 INFO mapreduce.Job:  map 77% reduce 24%
16/03/30 04:10:54 INFO mapreduce.Job:  map 77% reduce 25%
16/03/30 04:11:01 INFO mapreduce.Job:  map 77% reduce 26%
16/03/30 04:11:14 INFO mapreduce.Job:  map 78% reduce 26%
16/03/30 04:11:20 INFO mapreduce.Job:  map 79% reduce 26%
16/03/30 04:11:23 INFO mapreduce.Job:  map 80% reduce 26%
16/03/30 04:11:39 INFO mapreduce.Job:  map 81% reduce 26%
16/03/30 04:11:43 INFO mapreduce.Job:  map 82% reduce 26%
16/03/30 04:11:56 INFO mapreduce.Job:  map 83% reduce 26%
16/03/30 04:12:02 INFO mapreduce.Job:  map 84% reduce 26%
16/03/30 04:12:15 INFO mapreduce.Job:  map 84% reduce 27%
16/03/30 04:12:18 INFO mapreduce.Job:  map 84% reduce 28%
16/03/30 04:12:36 INFO mapreduce.Job:  map 85% reduce 28%
16/03/30 04:12:39 INFO mapreduce.Job:  map 86% reduce 28%
16/03/30 04:12:43 INFO mapreduce.Job:  map 87% reduce 28%
16/03/30 04:12:55 INFO mapreduce.Job:  map 88% reduce 28%
16/03/30 04:13:05 INFO mapreduce.Job:  map 89% reduce 28%
16/03/30 04:13:11 INFO mapreduce.Job:  map 90% reduce 28%
16/03/30 04:13:14 INFO mapreduce.Job:  map 91% reduce 28%
16/03/30 04:13:23 INFO mapreduce.Job:  map 91% reduce 29%
16/03/30 04:13:29 INFO mapreduce.Job:  map 91% reduce 30%
16/03/30 04:13:46 INFO mapreduce.Job:  map 92% reduce 30%
16/03/30 04:13:50 INFO mapreduce.Job:  map 93% reduce 30%
16/03/30 04:13:54 INFO mapreduce.Job:  map 94% reduce 30%
16/03/30 04:14:09 INFO mapreduce.Job:  map 95% reduce 30%
16/03/30 04:14:25 INFO mapreduce.Job:  map 96% reduce 30%
16/03/30 04:14:30 INFO mapreduce.Job:  map 97% reduce 30%
16/03/30 04:14:40 INFO mapreduce.Job:  map 97% reduce 31%
16/03/30 04:14:46 INFO mapreduce.Job:  map 97% reduce 32%
16/03/30 04:14:53 INFO mapreduce.Job:  map 98% reduce 32%
16/03/30 04:14:56 INFO mapreduce.Job:  map 99% reduce 32%
16/03/30 04:15:08 INFO mapreduce.Job:  map 100% reduce 32%
