16/03/30 23:16:18 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-36-82-211.us-west-2.compute.amazonaws.com/172.31.6.22:9050
16/03/30 23:16:18 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/30 23:16:18 INFO input.FileInputFormat: Total input paths to process : 1
16/03/30 23:16:19 INFO mapreduce.JobSubmitter: number of splits:75
16/03/30 23:16:19 INFO Configuration.deprecation: mapred.textoutputformat.separator is deprecated. Instead, use mapreduce.output.textoutputformat.separator
16/03/30 23:16:19 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1459379192543_0002
16/03/30 23:16:20 INFO impl.YarnClientImpl: Submitted application application_1459379192543_0002
16/03/30 23:16:20 INFO mapreduce.Job: The url to track the job: http://ec2-52-36-82-211.us-west-2.compute.amazonaws.com:9006/proxy/application_1459379192543_0002/
16/03/30 23:16:20 INFO mapreduce.Job: Running job: job_1459379192543_0002
16/03/30 23:16:30 INFO mapreduce.Job: Job job_1459379192543_0002 running in uber mode : false
16/03/30 23:23:10 INFO mapreduce.Job:  map 100% reduce 27%
16/03/30 23:23:13 INFO mapreduce.Job:  map 100% reduce 28%
16/03/30 23:23:25 INFO mapreduce.Job:  map 100% reduce 29%
16/03/30 23:23:34 INFO mapreduce.Job:  map 100% reduce 30%
16/03/30 23:23:43 INFO mapreduce.Job:  map 100% reduce 31%
16/03/30 23:23:49 INFO mapreduce.Job:  map 100% reduce 32%
16/03/30 23:29:55 INFO mapreduce.Job:  map 100% reduce 0%
16/03/30 23:30:00 INFO mapreduce.Job:  map 85% reduce 0%
16/03/30 23:30:01 INFO mapreduce.Job:  map 95% reduce 0%
16/03/30 23:30:12 INFO mapreduce.Job:  map 96% reduce 0%
16/03/30 23:30:13 INFO mapreduce.Job:  map 98% reduce 0%
16/03/30 23:30:15 INFO mapreduce.Job:  map 99% reduce 0%
16/03/30 23:30:16 INFO mapreduce.Job:  map 100% reduce 1%
16/03/30 23:30:19 INFO mapreduce.Job:  map 100% reduce 2%
16/03/30 23:30:22 INFO mapreduce.Job:  map 100% reduce 3%
16/03/30 23:30:28 INFO mapreduce.Job:  map 100% reduce 4%
16/03/30 23:30:34 INFO mapreduce.Job:  map 100% reduce 5%
16/03/30 23:30:37 INFO mapreduce.Job:  map 100% reduce 6%
16/03/30 23:30:43 INFO mapreduce.Job:  map 100% reduce 7%
16/03/30 23:30:49 INFO mapreduce.Job:  map 100% reduce 8%
16/03/30 23:30:58 INFO mapreduce.Job:  map 100% reduce 9%
16/03/30 23:31:07 INFO mapreduce.Job:  map 100% reduce 10%
16/03/30 23:31:10 INFO mapreduce.Job:  map 100% reduce 11%
16/03/30 23:31:13 INFO mapreduce.Job:  map 100% reduce 12%
16/03/30 23:31:19 INFO mapreduce.Job:  map 100% reduce 13%
16/03/30 23:31:34 INFO mapreduce.Job:  map 100% reduce 14%
16/03/30 23:31:37 INFO mapreduce.Job:  map 100% reduce 15%
16/03/30 23:31:49 INFO mapreduce.Job:  map 100% reduce 16%
16/03/30 23:31:55 INFO mapreduce.Job:  map 100% reduce 17%
16/03/30 23:32:04 INFO mapreduce.Job:  map 100% reduce 18%
16/03/30 23:32:07 INFO mapreduce.Job:  map 100% reduce 19%
16/03/30 23:32:17 INFO mapreduce.Job:  map 100% reduce 20%
16/03/30 23:32:26 INFO mapreduce.Job:  map 100% reduce 21%
16/03/30 23:32:29 INFO mapreduce.Job:  map 100% reduce 22%
